E:/project/Shrink/data/record/test/mitm/11_2023_09_26_20_39_32,302,video,https://www.youtube.com//watch?v=_3Z3FpeFHDQ,/1855113/2097152/2097152/1633735/1632471/1977551/2097152/1776818/2097152/1819810/1827208/1916961/1657276/1634284/2097152/1984796/2097152/1466974/2097152/1396245/2097152/1379391/1843691/2097152/1297363/1977505/2097152/2097152/2097152/1421830/1279002/2097152/1335300/1365905/1372480/1285847/2097152/1358802/2097152/1588720/2097152/1586734/2097152/1911407/1337877/2097152/1787608/1362918/1296305/1325294/1318715/2097152/1527192/2097152/1713589/1288903/1306946/2097152/1445116/2097152/1818343/1263595/1363358/1448755/1302223/2097152/1517465/1387783/2097152/1841884/1300155/1265810/2097152/1309601/1274237/1306706/2097152/2049116/1287001/2097152/1292930/2097152/2097152/1726912/1318013/2097152/1538473/1386348/2097152/1946500/1419798/1442510/1395307/1458682/1457181,/10.0.0.15.63351>74.125.12.134.443/10.0.0.15.49900>173.194.8.102.443,1,0,1,0,95,/95,/10.0.0.15.63351>74.125.12.134.443/10.0.0.15.49900>173.194.8.102.443
E:/project/Shrink/data/record/test/mitm/13_2023_09_26_20_50_48,302,video,https://www.youtube.com//watch?v=0yCy43o535k,/1522792/2091274/2026830/2097152/2097152/2097152/1919119/1818267/1911322/1505430/1540458/1400566/1632432/1912507/2077058/1682421/1742503/1390164/2017339/1704202/2020295/1898257/1827438/2097152/1366962/1687350/1605993/2032918/1464303/1641976/2097152/1493046/1589570/1761743/1987088/1572807/2064143/1520150/1815672/1367968/1464959/1454144/1519926/1572428/2097152/1643809/1685262/1455487/1427453/1944973/1901683/1838523/2097152/2094279/1560225/1858023/2004360/1981419/1554381/2070411/1904980/1460798/2058200/1596734/1963250,/10.0.0.15.51883>142.251.84.166.443,1,0,1,0,65,/65,/10.0.0.15.51883>142.251.84.166.443
E:/project/Shrink/data/record/test/mitm/14_2023_09_26_21_01_46,302,video,https://www.youtube.com//watch?v=0ZB_JiV8KLg,/1826533/1967975/1790235/1982176/1910069/1979369/1835124/1990879/2009625/1971808/2059642/1904401/1710858/1929252/1942921/1930826/1895930/1992622/1862959/1842527/1618525/1927201/1847861/1961027/1777648/1901144/1823255/1914252/1966630/1777708/2071088,/10.0.0.15.49538>142.251.85.136.443,1,0,1,0,31,/31,/10.0.0.15.49538>142.251.85.136.443
E:/project/Shrink/data/record/test/mitm/15_2023_09_26_21_12_43,247,video,https://www.youtube.com//watch?v=14aYHc7ybu0,/2096711/2068022/1903058/1592968/1806560/2043442/1789543/1958934/1802192/1745109/1772509/1935354/2072599/1802068/1878261/2093068/1840256/1880855/1925447/1825153/1858538/1835826/1979289/1502615/1977295/1990715/2067187/1920225,/10.0.0.15.55194>74.125.164.41.443/10.0.0.15.53328>74.125.164.41.443,1,0,1,0,28,/28,/10.0.0.15.55194>74.125.164.41.443/10.0.0.15.53328>74.125.164.41.443
E:/project/Shrink/data/record/test/mitm/18_2023_09_26_21_24_13,247,video,https://www.youtube.com//watch?v=1fWefVqnZAQ,/1435584/1936350/2097152/1880430/2097152/1688030/1762749/1840307/1905258/1510879/2038342/1682968/2097152/2097152/2097152/1980966/1281646/2097152/2097152/1263603/2097152/2097152/1616193/1288528/2097152/1541194/1339602/2097152/2067446/2021356/2097152/1446625/2097152/1672539/2097152/1626361/1821212/1947866/1876986/1772486/1757903/2097152/1563719/1650208/1878693/2051227/2097152/1634146/1359952/1358201/2097152/1904273/1284068/2097152/1793536/1579884/1348124/1748370/2097152/1695995/1473677/1443759/1678095/1482112/2097152/2097152/1761315/1742567/2097152/1848817/1755925/1572279/1646680/1496632/1492015/1443112,/10.0.0.15.49706>74.125.164.136.443,1,0,1,0,76,/76,/10.0.0.15.49706>74.125.164.136.443
E:/project/Shrink/data/record/test/mitm/19_2023_09_26_21_35_09,247,video,https://www.youtube.com//watch?v=1gNbei6fK1U,/2065781/1404625/1721158/1621150/1477317/2076551/1756246/1496108/1893109/1514901/1974948/1489786/1391671/1488782/1518995/1910234/1542247/1550203/1607291/1843904/1862591/1950567/1881669/1673990/1806124/1573087/1895621/1947070/1816426/1654900/1728406/1695615/2002718/1736552/1632583/1953390/1486733/1880167/1772936/1575869/1750259/1864015/2032317/1841931/2044387/1787540/1681085/1697460/1505971/1943408,/10.0.0.15.50122>142.251.88.70.443,1,0,1,0,50,/50,/10.0.0.15.50122>142.251.88.70.443
E:/project/Shrink/data/record/test/mitm/20_2023_09_26_21_46_04,247,video,https://www.youtube.com//watch?v=1huWChPdniQ,/1986356/2074072/2003040/2073655/1929520/2010171/2079489/2048867/2059781/1745136/526916,/10.0.0.15.61949>142.251.85.135.443/10.0.0.15.58620>142.251.91.230.443/10.0.0.15.53328>142.251.91.230.443/10.0.0.15.60154>142.251.91.230.443/10.0.0.15.54508>142.251.91.230.443/10.0.0.15.57918>142.251.91.230.443/10.0.0.15.55381>142.251.91.230.443/10.0.0.15.52112>142.251.91.230.443,1,0,1,0,11,/11,/10.0.0.15.61949>142.251.85.135.443/10.0.0.15.58620>142.251.91.230.443/10.0.0.15.53328>142.251.91.230.443/10.0.0.15.60154>142.251.91.230.443/10.0.0.15.54508>142.251.91.230.443/10.0.0.15.57918>142.251.91.230.443/10.0.0.15.55381>142.251.91.230.443/10.0.0.15.52112>142.251.91.230.443
E:/project/Shrink/data/record/test/mitm/21_2023_09_26_21_57_00,247,video,https://www.youtube.com//watch?v=1kykQuQ1tYI,/1847498/1734502/1965176/1770602/2020395/1966307/1825832/1883868/1776941/1788631/1846065/1891643/1947076/1926319/1924603/1744172/1952791/1750541/2083246/1974601/2092146/2094762/783151,/10.0.0.15.53935>74.125.164.71.443/10.0.0.15.56858>142.251.85.138.443/10.0.0.15.57733>142.251.85.138.443,1,0,1,0,23,/23,/10.0.0.15.53935>74.125.164.71.443/10.0.0.15.56858>142.251.85.138.443/10.0.0.15.57733>142.251.85.138.443
E:/project/Shrink/data/record/test/mitm/26_2023_09_26_22_09_00,247,video,https://www.youtube.com//watch?v=1t8WpotDMt4,/1805683/1831229/1863339/1593633/1583866/1857651/1848189/1857633/1900530/1731359/1798046/1701064/2008798/1824022/1897562/1407386/1544127/1548886/1590338/2081981/1685998/1737149/1474720/1749019/1833641/1628303/1664926/1700395/1362168/1542951/1591633/1612436/1643441/1641546/1728994/1888530/1707284/1806249/1878261/1888934/1699179/1945685/1708656/1918148/1892941/1871423/1339233/1965917/1585055/1899687/1995242/1973675/1929375/2043566/1672675,/10.0.0.15.57919>74.125.12.136.443,1,0,1,0,55,/55,/10.0.0.15.57919>74.125.12.136.443
E:/project/Shrink/data/record/test/mitm/27_2023_09_26_22_19_57,247,video,https://www.youtube.com//watch?v=22AzVdi0E3E,/1697499/2097152/1417977/1962896/1972911/1913471/2071877/2097152/1569871/1644543/2013739/1766537/1842348/1815821/1960117/1936574/1425932/1646803/1742327/1853533/2015355/1854418/1323924/1392898/1319421/1268368/2097152/1592271/1880291/1924290/2007120/1648340/1836033/1964404/1288055/1912118/2097152/1764674/1779645/2054971/2024826/1983113/1675585/1610900/2053309/1620502/1809569/1810794/1602726/1431929/1258641/1760490/1626515/1648202/1533841,/10.0.0.15.49548>142.251.85.104.443/10.0.0.15.60403>74.125.101.38.443,1,0,1,0,55,/55,/10.0.0.15.49548>142.251.85.104.443/10.0.0.15.60403>74.125.101.38.443
E:/project/Shrink/data/record/test/mitm/28_2023_09_26_22_30_55,302,video,https://www.youtube.com//watch?v=24Mi5BlxTRM,/2097152/2097152/2061209/2097152/2097152/2097152/2097152/2097152/2097152/2097152/2097152/2097152/2097152/2097152/2097152/2097152/2053650/2097152/2032560/1874140/1912913/1841122/1882494/1920515/1866404/1922051/1871310/2097152/2097152/2069366/1924289/2016191/2083388/1954325/1933672/1933634/1938121/2097152/2097152/2097152/2097152/2097152/1950035/1881582/1867190/1883196/1706813/2097152/2097152/2097152/2097152/2097152/2097152/2097152/2004142/1832332/1823806/1894101/1863082/1807779/1728426/1810449/1734611/1836975/1935009/1894215/1933707/2005485/1999425/1939699/1917784/1947637/2097152/2027567/1942051/1896751/1961648/1910148/1826906/1810641/1822099/1801572/1805915/1859873/1927067/1798264/1838594/1640754/1796138/1789841/1829144/1472678/2093086/1923366/1747603/1931628/1576005/2097152/1716470/1954923/1916829/1779193/1820852,/10.0.0.15.58446>142.251.88.10.443/10.0.0.15.55721>74.125.96.9.443,1,0,1,0,103,/103,/10.0.0.15.58446>142.251.88.10.443/10.0.0.15.55721>74.125.96.9.443
