id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,udps.packet_datasize,udps.chunk,udps.segment,udps.result_url_list,udps.result_url
0,0,"192.168.107.142","30:9c:23:4d:9c:dc","30:9c:23",4443,"20.150.79.68","28:d0:f5:6a:e1:e7","28:d0:f5",443,6,4,0,0,1698911196343,1698911198352,2009,2,132,1698911196343,1698911198352,2009,2,132,0,0,0,0,0,"TLS","Web",1,1,"","","","","","[26, 32]","[]",0,"[]",-1
1,0,"43.137.153.110","28:d0:f5:6a:e1:e7","28:d0:f5",443,"192.168.107.142","30:9c:23:4d:9c:dc","30:9c:23",4449,6,4,0,0,1698911196344,1698911196948,604,230,283637,1698911196344,1698911196948,604,194,280570,1698911196345,1698911196948,603,36,3067,"TLS","Web",1,1,"","","","","","[1438, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 20, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 20, 20, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 20, 1444, 1444, 1197, 20, 20, 1143, 26, 1444, 1444, 1268, 1444, 1444, 1268, 20, 20, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 20, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 1268, 1444, 1444, 20, 20, 1444, 1444, 1444, 20, 1444, 1444, 1444, 20, 1444, 1444, 1444, 20, 20, 1444, 1444, 1444, 20, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 20, 1444, 20, 1444, 1444, 1444, 1444, 1444, 1444, 20, 20, 20, 1444, 1444, 1444, 1444, 1444, 1444, 20, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 20, 1444, 20, 1444, 1444, 1444, 1444, 1444, 1444, 20, 20, 20, 1444, 1444, 1444, 20, 20, 1444, 1444, 20, 1444, 1444, 1444, 1444, 1444, 1444, 1444, 1005, 20, 20, 20, 20, 26, 20]","[]",100,"[]",-1
2,0,"192.168.107.47","00:e0:4c:7f:6b:16","00:e0:4c",55841,"239.255.255.250","01:00:5e:7f:ff:fa","01:00:5e",1900,17,4,0,0,1698911196336,1698911199357,3021,4,868,1698911196336,1698911199357,3021,4,868,0,0,0,0,0,"SSDP","System",0,6,"239.255.255.250:1900","","","","","[177, 183, 183, 183]","[]",0,"[]",-1
3,0,"192.168.107.31","f4:8e:38:a3:10:50","f4:8e:38",61462,"239.255.255.250","01:00:5e:7f:ff:fa","01:00:5e",1900,17,4,0,0,1698911196631,1698911199658,3027,8,1728,1698911196631,1698911199658,3027,8,1728,0,0,0,0,0,"SSDP","System",0,6,"239.255.255.250:1900","","","","","[176, 182, 182, 182, 182, 182, 182, 182]","[]",0,"[]",-1
4,0,"192.168.107.41","b0:7b:25:2d:38:0b","b0:7b:25",54561,"239.255.255.250","01:00:5e:7f:ff:fa","01:00:5e",1900,17,4,0,0,1698911196650,1698911198665,2015,6,1302,1698911196650,1698911198665,2015,6,1302,0,0,0,0,0,"SSDP","System",0,6,"239.255.255.250:1900","","","","","[177, 183, 183, 183, 183, 183]","[]",0,"[]",-1
5,0,"192.168.107.13","d8:cb:8a:0d:2a:31","d8:cb:8a",55648,"239.255.255.250","01:00:5e:7f:ff:fa","01:00:5e",1900,17,4,0,0,1698911196691,1698911199707,3016,8,1736,1698911196691,1698911199707,3016,8,1736,0,0,0,0,0,"SSDP","System",0,6,"239.255.255.250:1900","","","","","[177, 183, 183, 183, 183, 183, 183, 183]","[]",0,"[]",-1
6,0,"fe80::42b0:34ff:fe24:6b69","40:b0:34:24:6b:69","40:b0:34",546,"ff02::1:2","33:33:00:01:00:02","33:33:00",547,17,6,0,0,1698911241391,1698911241391,0,1,163,1698911241391,1698911241391,0,1,163,0,0,0,0,0,"DHCPV6","Network",0,6,"","","","","","[123]","[]",0,"[]",-1
7,0,"192.168.107.232","e0:be:03:12:66:07","e0:be:03",5353,"224.0.0.251","01:00:5e:00:00:fb","01:00:5e",5353,17,4,0,0,1698911235387,1698911236398,1011,2,170,1698911235387,1698911236398,1011,2,170,0,0,0,0,0,"MDNS","Network",0,6,"_microsoft_mcc._tcp.local","","","","","[45, 51]","[]",0,"[]",-1
8,0,"fe80::6e4b:90ff:fef4:2040","6c:4b:90:f4:20:40","6c:4b:90",546,"ff02::1:2","33:33:00:01:00:02","33:33:00",547,17,6,0,0,1698911289712,1698911289712,0,1,116,1698911289712,1698911289712,0,1,116,0,0,0,0,0,"DHCPV6","Network",0,6,"","","","","","[76]","[]",0,"[]",-1
9,0,"192.168.107.40","30:9c:23:4d:9c:fc","30:9c:23",2425,"192.168.107.255","ff:ff:ff:ff:ff:ff","ff:ff:ff",2425,17,4,0,0,1698911250049,1698911252050,2001,4,844,1698911250049,1698911252050,2001,4,844,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","","","[171, 177, 177, 177]","[]",0,"[]",-1
